13.3151,0.88382
13.4151,0.883758
13.5151,0.883697
13.6151,0.883635
13.7151,0.883573
13.8151,0.883511
13.9151,0.88345
14.0151,0.883388
14.1151,0.883326
14.2151,0.883265
14.3151,0.883203
14.4151,0.883141
14.5151,0.883079
14.6151,0.883018
14.7151,0.882956
14.8151,0.882894
14.9151,0.882832
15.0151,0.882771
15.0565,0.882771
15.0651,0.882771
15.1151,0.882709
15.1406,0.882709
15.1603,0.882709
15.1788,0.882708
15.2151,0.882647
15.3151,0.882585
15.4151,0.882523
15.5151,0.882461
15.6151,0.8824
15.7151,0.882338
15.8151,0.882276
15.9151,0.882215
16.0151,0.882153
16.1151,0.882091
16.2151,0.882029
16.3151,0.881968
16.4151,0.881906
16.5151,0.881844
16.6151,0.881782
16.7151,0.881721
16.8151,0.881659
16.9151,0.881597
17.0151,0.881536
17.1151,0.881474
17.2151,0.881412
17.3151,0.88135
17.4151,0.881289
17.5151,0.881227
17.6151,0.881165
17.7151,0.881103
17.8151,0.881042
17.9151,0.88098
18.0151,0.880918
18.1151,0.880857
18.2151,0.880795
18.3151,0.880733
18.4151,0.880671
18.5151,0.88061
18.6151,0.880548
18.7151,0.880486
18.8151,0.880424
18.9151,0.880363
19.0151,0.880301
19.1151,0.880239
19.2151,0.880177
19.3151,0.880116
19.4151,0.880054
19.5151,0.879992
19.6151,0.879931
19.7151,0.879869
19.8151,0.879807
19.9151,0.879745
20.0151,0.879684
20.1151,0.879622
20.2151,0.87956
20.3151,0.879498
20.4151,0.879437
20.5151,0.879375
20.6151,0.879313
20.7151,0.879252
20.8151,0.87919
20.9151,0.879128
21.0151,0.879066
21.1151,0.879005
21.2151,0.878943
21.3151,0.878881
21.4151,0.878819
21.5151,0.878758
21.6151,0.878696
21.7151,0.878634
21.8151,0.878573
21.9151,0.878511
22.0151,0.878449
22.1151,0.878387
22.2151,0.878326
22.3151,0.878264
22.4151,0.878202
22.5151,0.87814
22.6151,0.878079
22.7151,0.878017
22.8151,0.877955
22.9151,0.877894
23.0151,0.877832
23.1151,0.87777
23.2151,0.877708
23.3151,0.877647
23.4151,0.877585
23.5151,0.877523
23.6151,0.877461
23.7151,0.8774
23.8151,0.877338
23.9151,0.877276
24.0151,0.877215
24.1151,0.877153
24.2151,0.877091
24.3151,0.877029
24.4151,0.876968
24.5151,0.876906
24.6151,0.876844
24.7151,0.876782
24.8151,0.876721
24.9151,0.876659
25.0151,0.876597
25.1151,0.876536
25.2151,0.876474
25.3151,0.876412
25.4151,0.87635
25.5151,0.876289
25.6151,0.876227
25.7151,0.876165
25.8151,0.876103
25.9151,0.876042
26.0151,0.87598
26.1151,0.875918
26.2151,0.875857
26.3151,0.875795
26.4151,0.875733
26.5151,0.875671
26.6151,0.87561
26.7151,0.875548
26.8151,0.875486
26.9151,0.875424
27.0151,0.875363
27.1151,0.875301
27.2151,0.875239
